aphiaID,taxa_name
0,Phytoplankton colour
51,Mollusc
101,Gastropod
105,Bivalve
164,Gymnosomata (Unidentified)
166,Clione pacific/Thliptodon
799,Nematoda
883,Polychaete
932,Alciopidae
933,Lopadorrhynchidae indet
1066,Nauplii crustracean
1069,Branchiopoda indet
1071,Megalope
1078,Ostracod
1080,Copepod damaged
1082,Barnacle cyprid
1100,Calanoid copepods
1101,Poecilostomatoida
1102,Harpacticoid
1104,Siphonostomatoida
1106,Monstrilloida
1128,Euphausiacea Adult
1130,Decapod
1131,Isopod
1135,Amphipod
1137,Cumacea
1205,Hyperiidea (Total)
1207,Gammarid amphipod
1248,Ctenophore
1267,Cnidarian
1268,Sipunculid worm
1300,Arachnid terrestrial
1302,Pycnogonida
1307,Insect terrestrial
1337,Hydromedusae
1371,Siphonophore
1410,Foram A
1648,Pelagosphera
1803,Brachiopoda
1806,Echinoderm
1828,Pisces egg
2081,Chaetognatha
5953,Sagittidae indet
10194,Fish eggs (Total)
10295,Leptocephalus
11707,Cephalopoda
11716,Teuthida indet
13551,Anthoathecata
13703,Thecosomata (Pacific)
14260,Rotifer eggs
14355,Stomatopod
14712,Opisthobranchia
14777,Stylocheiron carinatum
16350,Trachymedusae
17446,Appendicularia
19494,Hydroid
19542,Dinoflagellate cysts (Total)
22626,Thaliacea
23000,Cavoliniidae
101417,Hyperiid amphipod
101424,Scinidae
101796,Hyperia spp.
101798,Hyperoche sp.
101800,Themisto sp.
101802,Mimonectes spp.
101804,Phronima spp.
101806,Primno spp.
101810,Scina spp.
101812,Vibilia spp.
103241,Brachyscelus crusculum
103254,Hyperia spinigera
103256,Hyperoche medusarum
103273,Phrosina semilunata
103354,Fritillariidae
103356,Oikopleuridae
103357,Appendicularia
103358,Fritillaria sp.
103367,Oikopleura spp.
103386,Fritillaria pellucida
103483,Colonial ascidian
104075,Aetideidae
104079,Calanid
104085,Eucalanidae
104086,Euchaetidae (unidentified)
104093,Paracalanidae
104097,Pontellidae
104103,Scolecitrichidae
104108,Acartia spp.
104112,Aetideus spp.
104115,Bradyidius spp.
104120,Euchirella spp.
104121,Gaetanus spp. (unidentified)
104126,Pseudochirella spp.
104128,Undeuchaeta spp. (Unidentified)
104137,Augaptilus spp.
104139,Euaugaptilus sp.
104151,Calanoides spp.
104152,Calanus I-IV
104153,Mesocalanus
104155,Neocalanus spp.
104157,Candacia spp.
104159,Centropages spp.
104161,Clausocalanus farrani
104162,Ctenocalanus spp.
104164,Microcalanus spp.
104171,Eucalanus spp.
104172,Nauplii calanoid
104173,Subeucalanus spp.
104174,Euchaeta spp.
104178,Heterorhabdus spp.
104183,Lucicutia spp.
104184,Mecynocera spp.
104190,Metridia spp.
104191,Pleuromamma spp.
104192,Acrocalanus spp.
104193,Calocalanus spp.
104196,Paracalanus spp.
104201,Onchocalanus sp.
104204,Xanthocalanus spp. (Unidentified)
104207,Calanopia spp.
104208,Labidocera spp.
104209,Pontella spp.
104210,Pontellina spp.
104211,Pontellopsis spp.
104221,Amallothrix spp.
104225,Lophothrix spp.
104228,Scaphocalanus spp.
104229,Scolecithricella spp.
104230,Scolecithrix spp.
104241,Temora spp.
104273,Aetideus acutus
104275,Aetideus armatus
104276,Aetideus giesbrechti
104296,Euchirella amoena
104299,Euchirella curticauda
104301,Euchirella messinensis
104302,Euchirella pulchra
104303,Euchirella rostrata
104312,Gaetanus minor
104342,Undeuchaeta major
104343,Undeuchaeta plumosa
104422,Haloptilus acutifrons
104431,Haloptilus longicornis
104434,Haloptilus oxycephalus
104437,Haloptilus spiniceps
104462,Calanoides carinatus
104464,Calanus finmarchicus
104465,Calanus glacialis
104466,Calanus helgolandicus
104467,Calanus hyperboreus
104468,Mesocalanus tenuicornis
104469,Nannocalanus minor
104470,Neocalanus cristatus V-VI
104471,Neocalanus gracilis
104472,Neocalanus robustior
104473,Undinula vulgaris
104474,Candacia armata
104475,Candacia bipinnata
104476,Candacia curta
104478,Candacia ethiopica
