aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxa_name,TG_latest,References,PataHunt_traitValue,filter_or_not,campbell_diet
103241,Brachyscelus crusculum,Brachyscelus crusculum,19,"Spence Bate, 1861",220,Species,101792,Animalia,Arthropoda,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus,Brachyscelus crusculum,urn:lsid:marinespecies.org:taxname:103241,"Brachyscelus crusculum Spence Bate, 1861",Amphipod,Brachyscelus crusculum,carnivore,[1] Hyperiid,not determined,0,NA
325406,Cyllopus lucasii,Cyllopus lucasii,43,"Spence Bate, 1862",220,Species,325405,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,Cyllopus lucasii,urn:lsid:marinespecies.org:taxname:325406,"Cyllopus lucasii Spence Bate, 1862",Amphipod,Cyllopus lucasii,carnivore,[1] Hyperiid,not determined,0,NA
325407,Cyllopus magellanicus,Cyllopus magellanicus,44,"Dana, 1853",220,Species,325405,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,Cyllopus magellanicus,urn:lsid:marinespecies.org:taxname:325407,"Cyllopus magellanicus Dana, 1853",Amphipod,Cyllopus magellanicus,carnivore,[1] Hyperiid,not determined,0,NA
421612,Dairella californica,Dairella californica,55,"(Bovallius, 1885)",220,Species,101794,Animalia,Arthropoda,Malacostraca,Amphipoda,Dairellidae,Dairella,Dairella californica,urn:lsid:marinespecies.org:taxname:421612,"Dairella californica (Bovallius, 1885)",Amphipod,Dairella californica,carnivore,[1] Hyperiid,not determined,0,NA
237653,Harcledo spp.,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Harcledo,NA,urn:lsid:marinespecies.org:taxname:237653,"Harcledo†J.L. Barnard, 1964",Amphipod,Harcledo spp.,NA,NA,not determined,0,NA
236618,Hemityphis,Hemityphis,81,"Claus, 1879",180,Genus,101422,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyscelidae,Hemityphis,NA,urn:lsid:marinespecies.org:taxname:236618,"Hemityphis Claus, 1879",Amphipod,Hemityphis spp,carnivore,[1] Hyperiid,not determined,0,NA
103254,Hyperia spinigera,Hyperia spinigera,89,"Bovallius, 1889",220,Species,101796,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia spinigera,urn:lsid:marinespecies.org:taxname:103254,"Hyperia spinigera Bovallius, 1889",Amphipod,Hyperia spinigera,carnivore,[1] Hyperiid,not determined,0,NA
101796,Hyperia,Hyperia,85,"Latreille, 1823",180,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,NA,urn:lsid:marinespecies.org:taxname:101796,"Hyperia Latreille, 1823",Amphipod,Hyperia spp.,carnivore,[1] Hyperiid,not determined,0,NA
325378,Hyperiella,Hyperiella,90,"Bovallius, 1887",180,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperiella,NA,urn:lsid:marinespecies.org:taxname:325378,"Hyperiella Bovallius, 1887",Amphipod,Hyperiella spp.,carnivore,[1] Hyperiid,parasite; carnivore,0,NA
325383,Hyperiella dilatata,Hyperiella dilatata,91,"Stebbing, 1888",220,Species,325378,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperiella,Hyperiella dilatata,urn:lsid:marinespecies.org:taxname:325383,"Hyperiella dilatata Stebbing, 1888",Amphipod,Hyperiella dilatata,carnivore,[1] Hyperiid,not determined,0,NA
