sample_id,zoopTotal_sum,FF_sum,Omni_sum,Carni_sum,Cope_omni_sum,Cope_carni_sum,Cal_omni_sum,Cal_carni_sum,Cyc_omni_sum,Cyc_carni_sum,otherCopepods_omni_sum,otherCopepods_carni_sum
1-1,1.3334,0,0,1.3334,0,1.3334,0,0,0,1.3334,0,0
1-13,118.6672,0,72.0004,47.3335,60.6669,44.6668,55.3336,1.3334,5.3333,43.3334,1.3334,0
1-17,42.6667,0,21.3333,21.3334,18,20.6667,16,2,2,18.6667,0,0
1-18,39.3336,0,21.3335,18.0001,20.6668,18.0001,17.3335,1.3334,3.3333,16.6667,0,0
1-26,44.0003,0,18.6668,25.3335,17.3334,24.0001,14.0001,2.6666,3.3333,21.3335,0.6667,0
1-30,6.0001,0,3.3334,2.6667,1.3334,2,1.3334,0,0,2,0,0
1-33,25.3334,0,6.6667,18.6667,4,18.6667,4,6,0,12.6667,0,0
1-37,40.0002,0,21.3334,18.6668,16.6667,18.0001,16,6.0001,0.6667,12,1.3334,0
1-41,11.3336,0,3.3335,8.0001,1.3334,8.0001,1.3334,0.6667,0,7.3334,0,0
1-45,108.667,0.6667,64.6667,43.3336,56.6668,41.3336,52.6668,7.3335,4,34.0001,2,0
1-49,32.0002,0,15.3334,16.6668,10.6667,16.6668,8.6667,1.3334,2,15.3334,2.6667,0
1-5,30.0003,0,21.3335,8.6668,11.3335,8.0001,9.3335,1.3334,2,6.6667,0.6667,0
1-9,31.3334,0,17.3334,14,12.6667,14,12,3.3333,0.6667,10.6667,0.6667,0
100-1,19.3335,0,12.6667,6.6668,9.3334,6.6668,4.0001,0.6667,5.3333,6.0001,0,0
100-101,176.667,0,84.0001,92.6669,81.3334,92.6669,80.6667,68.6667,0.6667,24.0002,2,0
100-13,43.3336,0,6.6668,36.6668,6.6668,36.6668,6.6668,8.0001,0,28.6667,0,0
100-17,46.0001,0,10.0001,36,8.6667,36,7.3334,2,1.3333,34,0,0
100-21,42.667,0,18.0003,24.6667,16.6669,24.6667,14.0001,3.3334,2.6668,21.3333,1.3334,0
