aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,taxa_name,TG_latest,unreviewed_traitValue,References,PataHunt_traitValue,filter_or_not,campbell_diet,same_or_not,global_totalAbundance,global_relativeAbundance,auscpr_totalAbundance,auscpr_relativeAbundance,natlantic_totalAbundance,natlantic_relativeAbundance,npacific_totalAbundance,npacific_relativeAbundance,socpr_totalAbundance,socpr_relativeAbundance
103241,Brachyscelus crusculum,Brachyscelus crusculum,19,"Spence Bate, 1861",220,Species,101792,Animalia,Arthropoda,Malacostraca,Amphipoda,Brachyscelidae,Brachyscelus,Brachyscelus crusculum,urn:lsid:marinespecies.org:taxname:103241,"Brachyscelus crusculum Spence Bate, 1861",Amphipod,Brachyscelus crusculum,Brachyscelus crusculum,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,1,6.68976020315115E-10,NA,NA,NA,NA,NA,NA,1,1.23306766890407E-07
325406,Cyllopus lucasii,Cyllopus lucasii,43,"Spence Bate, 1862",220,Species,325405,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,Cyllopus lucasii,urn:lsid:marinespecies.org:taxname:325406,"Cyllopus lucasii Spence Bate, 1862",Amphipod,Cyllopus lucasii,Cyllopus lucasii,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,26.667,1.78395835337432E-08,8.667,1.09982514881565E-05,NA,NA,NA,NA,18,2.21952180402732E-06
325407,Cyllopus magellanicus,Cyllopus magellanicus,44,"Dana, 1853",220,Species,325405,Animalia,Arthropoda,Malacostraca,Amphipoda,Cyllopodidae,Cyllopus,Cyllopus magellanicus,urn:lsid:marinespecies.org:taxname:325407,"Cyllopus magellanicus Dana, 1853",Amphipod,Cyllopus magellanicus,Cyllopus magellanicus,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,6,4.01385612189069E-09,NA,NA,NA,NA,NA,NA,6,7.39840601342441E-07
421612,Dairella californica,Dairella californica,55,"(Bovallius, 1885)",220,Species,101794,Animalia,Arthropoda,Malacostraca,Amphipoda,Dairellidae,Dairella,Dairella californica,urn:lsid:marinespecies.org:taxname:421612,"Dairella californica (Bovallius, 1885)",Amphipod,Dairella californica,Dairella californica,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,2,1.33795204063023E-09,NA,NA,NA,NA,NA,NA,2,2.46613533780814E-07
237653,Harcledo spp.,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Harcledo,NA,urn:lsid:marinespecies.org:taxname:237653,"Harcledo J.L. Barnard, 1964",Amphipod,Harcledo spp.,Harcledo spp.,NA,not_determined,NA,not determined,0,NA,NA,0.6667,4.46006312744087E-10,0.6667,8.46029106629046E-07,NA,NA,NA,NA,NA,NA
236618,Hemityphis,Hemityphis,81,"Claus, 1879",180,Genus,101422,Animalia,Arthropoda,Malacostraca,Amphipoda,Platyscelidae,Hemityphis,NA,urn:lsid:marinespecies.org:taxname:236618,"Hemityphis Claus, 1879",Amphipod,Hemityphis spp,Hemityphis spp,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,1.6667,1.1149823330592E-09,0.6667,8.46029106629046E-07,NA,NA,NA,NA,1,1.23306766890407E-07
103254,Hyperia spinigera,Hyperia spinigera,89,"Bovallius, 1889",220,Species,101796,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,Hyperia spinigera,urn:lsid:marinespecies.org:taxname:103254,"Hyperia spinigera Bovallius, 1889",Amphipod,Hyperia spinigera,Hyperia spinigera,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,129.3203,8.65121796399568E-08,45.3203,5.75105638535479E-05,NA,NA,NA,NA,84,1.03577684187942E-05
101796,Hyperia,Hyperia,85,"Latreille, 1823",180,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperia,NA,urn:lsid:marinespecies.org:taxname:101796,"Hyperia Latreille, 1823",Amphipod,Hyperia spp.,Hyperia spp.,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,81.6667,5.46330639582684E-08,0.6667,8.46029106629046E-07,NA,NA,NA,NA,81,9.98784811812295E-06
325378,Hyperiella,Hyperiella,90,"Bovallius, 1887",180,Genus,101417,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperiella,NA,urn:lsid:marinespecies.org:taxname:325378,"Hyperiella Bovallius, 1887",Amphipod,Hyperiella spp.,Hyperiella spp.,carnivore,parasite; carnivore,[1] Hyperiid,parasite; carnivore,0,NA,NA,423.3338,2.83200160788875E-07,99.3338,0.00012605262647677,NA,NA,NA,NA,324,3.99513924724918E-05
325383,Hyperiella dilatata,Hyperiella dilatata,91,"Stebbing, 1888",220,Species,325378,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Hyperiella,Hyperiella dilatata,urn:lsid:marinespecies.org:taxname:325383,"Hyperiella dilatata Stebbing, 1888",Amphipod,Hyperiella dilatata,Hyperiella dilatata,carnivore,not_determined,[1] Hyperiid,not determined,0,NA,NA,67,4.48213933611127E-08,NA,NA,NA,NA,NA,NA,67,8.26155338165726E-06
