sample_id,zoopTotal_sum,FF_sum,Omni_sum,Carni_sum,Cope_omni_sum,Cope_carni_sum,Cal_omni_sum,Cal_carni_sum,Cyc_omni_sum,Cyc_carni_sum,otherCopepods_omni_sum,otherCopepods_carni_sum
100AT-10,50,0,50,0,50,0,50,0,0,0,0,0
100AT-11,0,0,0,0,0,0,0,0,0,0,0,0
100AT-12,50,0,50,0,50,0,50,0,0,0,0,0
100AT-13,0,0,0,0,0,0,0,0,0,0,0,0
100AT-14,1,0,1,0,1,0,1,0,0,0,0,0
100AT-15,50,0,0,50,0,50,0,50,0,0,0,0
100AT-16,152,0,100,52,100,50,50,50,50,0,0,0
100AT-17,154,0,153,1,150,0,150,0,0,0,0,0
100AT-18,51,0,1,50,0,50,0,50,0,0,0,0
100AT-19,1,0,1,0,0,0,0,0,0,0,0,0
100AT-20,0,0,0,0,0,0,0,0,0,0,0,0
100AT-21,50,0,0,50,0,50,0,50,0,0,0,0
100AT-22,1957,0,201,1756,200,1750,100,1750,100,0,0,0
100AT-23,301,0,0,301,0,300,0,300,0,0,0,0
100AT-3,0,0,0,0,0,0,0,0,0,0,0,0
100AT-7,0,0,0,0,0,0,0,0,0,0,0,0
100VJ-11,51,0,0,51,0,51,0,51,0,0,0,0
100VJ-15,1151,0,1050,101,950,100,650,100,300,0,0,0
100VJ-19,30094,17,30012,65,15006,53,15006,53,0,0,15000,0
100VJ-23,30742,17,15553,15172,15453,153,15453,153,0,0,50,0
100VJ-27,311,3,206,102,206,100,106,100,100,0,0,0
100VJ-3,15735,0,15100,635,15100,635,15000,635,100,0,0,0
100VJ-31,656,0,50,606,50,606,0,456,50,150,0,0
100VJ-35,404,0,250,154,150,152,100,102,50,50,0,0
100VJ-39,1352,0,901,451,850,450,750,350,100,100,50,0
100VJ-43,2219,0,1053,1166,1050,1160,900,1110,150,50,0,0
100VJ-47,1002,0,67,935,50,935,50,885,0,50,0,0
100VJ-7,0,0,0,0,0,0,0,0,0,0,0,0
101AT-1,15118,0,15001,117,15000,100,15000,100,0,0,0,0
101AT-13,256,0,100,156,100,150,100,100,0,50,0,0
101AT-5,15658,0,602,15056,602,50,602,50,0,0,0,0
101VJ-11,507,75,183,249,177,225,177,225,0,0,0,0
101VJ-15,422,75,0,347,0,306,0,306,0,0,0,0
101VJ-19,529,35,52,442,50,435,0,335,50,100,0,0
101VJ-23,15318,0,15156,162,15150,156,15050,56,100,100,0,0
101VJ-27,607,0,150,457,150,456,50,456,100,0,0,0
101VJ-3,15181,6,15004,171,15003,167,15003,167,0,0,0,0
101VJ-31,15325,0,15152,173,15052,167,15052,167,0,0,100,0
